#_RAJ2000   _DEJ2000  Name     rh rm rs     dg dm ds       HV     mag    Simba   
151.3587   -7.6774  N3115-166  10 05 26.1  -07 40 38.6   806.78  18.56  Simbad
151.3592   -7.6755  N3115-167  10 05 26.2  -07 40 31.7   693.28  18.81  Simbad
151.3604   -7.6842  N3115-168  10 05 26.5  -07 41 03.3   414.18  18.01  Simbad
151.3625   -7.6749  N3115-169  10 05 27.0  -07 40 29.7   608.68  17.63  Simbad
151.3625   -7.6583  N3115-170  10 05 27.0  -07 39 30.0   914.28  19.89  Simbad
151.3650   -7.6832  N3115-171  10 05 27.6  -07 40 59.5   915.58  17.58  Simbad
151.3654   -7.6869  N3115-172  10 05 27.7  -07 41 12.7   871.78  17.61  Simbad
151.3654   -7.6635  N3115-173  10 05 27.7  -07 39 48.5   699.78  18.41  Simbad
151.3688   -7.6948  N3115-174  10 05 28.5  -07 41 41.1   519.18  18.94  Simbad
151.3692   -7.6741  N3115-175  10 05 28.6  -07 40 26.8   757.68  20.16  Simbad
151.3721   -7.6711  N3115-176  10 05 29.3  -07 40 16.0   767.88  18.45  Simbad
151.3725   -7.6726  N3115-177  10 05 29.4  -07 40 21.4   841.48  17.62  Simbad
151.3787   -7.7186  N3115-178  10 05 30.9  -07 43 06.9   389.88  19.30  Simbad
151.3808   -7.6926  N3115-179  10 05 31.4  -07 41 33.5   617.38  21.02  Simbad
151.3854   -7.7497  N3115-180  10 05 32.5  -07 44 59.0   687.98  19.20  Simbad
151.3896   -7.6909  N3115-181  10 05 33.5  -07 41 27.2   942.08  17.98  Simbad
151.3925   -7.7186  N3115-182  10 05 34.2  -07 43 06.8   623.58  18.60  Simbad
151.3933   -7.7329  N3115-183  10 05 34.4  -07 43 58.6   541.08  19.36  Simbad
151.3979   -7.7338  N3115-184  10 05 35.5  -07 44 01.6   182.88  18.02  Simbad
151.3983   -7.6917  N3115-185  10 05 35.6  -07 41 30.3   736.48  18.99  Simbad
151.3987   -7.6811  N3115-186  10 05 35.7  -07 40 51.8   475.88  17.03  Simbad
151.4000   -7.7074  N3115-187  10 05 36.0  -07 42 26.7   637.68  18.27  Simbad
151.4008   -7.6911  N3115-188  10 05 36.2  -07 41 28.1   804.58  17.56  Simbad
151.4021   -7.6971  N3115-189  10 05 36.5  -07 41 49.7   722.08  19.17  Simbad
345.1779  +30.1696  N7457-001  23 00 42.7  +30 10 10.7   993.94  20.40  Simbad
345.2012  +30.1495  N7457-002  23 00 48.3  +30 08 58.2   870.64  20.24  Simbad
345.2129  +30.1553  N7457-003  23 00 51.1  +30 09 19.0   886.94  19.50  Simbad
345.2142  +30.1622  N7457-004  23 00 51.4  +30 09 44.1   939.94  19.69  Simbad
345.2254  +30.1286  N7457-005  23 00 54.1  +30 07 43.0   791.54  20.31  Simbad
345.2267  +30.1627  N7457-006  23 00 54.4  +30 09 45.7   919.74  19.06  Simbad
345.2287  +30.1560  N7457-007  23 00 54.9  +30 09 21.5   938.24  19.68  Simbad
345.2287  +30.1571  N7457-008  23 00 54.9  +30 09 25.7   915.04  19.39  Simbad
345.2308  +30.1566  N7457-009  23 00 55.4  +30 09 23.6   930.24  20.49  Simbad
